,day_cycle_window,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
13479,1_2_68,0.410247,0.362077,0.039747,0.714683,0.419917,0.064392,0.737571,-0.939894,0.012187,-0.261664,-0.049516
120449,4_1_31,-0.721846,-0.333739,-0.587623,0.347437,-0.882063,0.257443,-0.219197,-0.751455,0.753398,-0.752319,-0.710228
29377,1_5_24,1.027322,1.030225,1.028297,1.02486,1.019912,1.03703,1.028123,1.028077,-0.657785,-0.511308,1.024601
88427,3_1_122,-0.999926,0.74317,0.728932,-0.087528,1.015819,0.362073,1.005044,1.048604,-0.583657,0.661215,0.045875
125625,4_2_34,0.526937,-0.233796,-1.248271,-0.608933,-2.145277,0.474568,-1.080456,-1.801072,0.298701,-0.488721,-1.223869
